path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
14,1,drug_drug,0.01522148595717938,0.0012080343540422614,0.01216879952698946,0.017431646585464478
14,1,indication,0.013050751760601997,,0.013050751760601997,0.013050751760601997
14,2,contraindication | contraindication,0.014642303188641867,0.0015115020432093557,0.012907092459499836,0.015672454610466957
14,2,drug_drug | contraindication,0.01923554576933384,,0.01923554576933384,0.01923554576933384
14,2,drug_drug | drug_drug,0.015393372857943177,0.0005039925942625275,0.014970884658396244,0.015974195674061775
14,2,drug_protein | disease_protein,0.013750628036047732,0.002651207608177734,0.009453849866986275,0.016752276569604874
14,2,drug_protein | drug_protein,0.010164550505578518,,0.010164550505578518,0.010164550505578518
14,2,drug_protein | protein_protein,0.025111718103289604,0.01078452769443347,0.017485905438661575,0.03273753076791763
14,2,indication | contraindication,0.02431528829038143,,0.02431528829038143,0.02431528829038143
15,1,contraindication,0.024772625034675002,0.01673855537110097,0.0030491380020976067,0.08109311014413834
15,1,drug_drug,0.015098124197921005,0.0011824154554885768,0.011873465031385422,0.01722157746553421
15,1,indication,0.013607552275061607,,0.013607552275061607,0.013607552275061607
15,2,contraindication | contraindication,0.01447059524556001,0.0022505473068080133,0.011908973567187786,0.016130264848470688
15,2,drug_drug | drug_drug,0.015487424284219741,0.0002478118574416525,0.015227093361318111,0.015771981328725815
15,2,drug_protein | disease_protein,0.014480388102432093,0.0027685109043627427,0.009622248820960522,0.017791643738746643
15,2,drug_protein | drug_protein,0.011158769950270653,0.000732485885339019,0.010640824213624,0.011676715686917305
15,2,drug_protein | protein_protein,0.019169160164892673,0.0020795004808362083,0.017698731273412704,0.020639589056372643
15,2,indication | contraindication,0.024569937959313393,,0.024569937959313393,0.024569937959313393
16,1,contraindication,0.01939320132294868,0.013653060791617563,0.006118221674114466,0.07573678344488144
16,1,drug_drug,0.015070428925543285,0.0011782652451186012,0.011986851692199707,0.017192408442497253
16,1,indication,0.01573328673839569,,0.01573328673839569,0.01573328673839569
16,2,contraindication | contraindication,0.014299844081203142,0.0014123420343448044,0.012965255416929722,0.01577884331345558
16,2,drug_drug | drug_drug,0.015659755654633047,0.00033262924358588684,0.015105786733329296,0.015986941754817963
